kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 124, key = null, value = Test Message #48 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 125, key = null, value = Test Message #50 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 126, key = null, value = Test Message #52 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 127, key = null, value = Test Message #54 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 128, key = null, value = Test Message #56 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 129, key = null, value = Test Message #58 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 130, key = null, value = Test Message #60 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 131, key = null, value = Test Message #62 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 132, key = null, value = Test Message #64 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 133, key = null, value = Test Message #66 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 134, key = null, value = Test Message #68 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 135, key = null, value = Test Message #70 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 136, key = null, value = Test Message #72 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 137, key = null, value = Test Message #74 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 138, key = null, value = Test Message #76 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 139, key = null, value = Test Message #78 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 140, key = null, value = Test Message #80 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 141, key = null, value = Test Message #82 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 142, key = null, value = Test Message #84 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 143, key = null, value = Test Message #86 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 144, key = null, value = Test Message #88 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 145, key = null, value = Test Message #90 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 146, key = null, value = Test Message #92 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 147, key = null, value = Test Message #94 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 148, key = null, value = Test Message #96 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 149, key = null, value = Test Message #98 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 150, key = null, value = Test Message #0 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 151, key = null, value = Test Message #2 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 152, key = null, value = Test Message #4 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 153, key = null, value = Test Message #6 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 154, key = null, value = Test Message #8 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 155, key = null, value = Test Message #10 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 156, key = null, value = Test Message #12 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 157, key = null, value = Test Message #14 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 158, key = null, value = Test Message #16 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 159, key = null, value = Test Message #18 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 160, key = null, value = Test Message #20 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 161, key = null, value = Test Message #22 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 162, key = null, value = Test Message #24 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 163, key = null, value = Test Message #26 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 164, key = null, value = Test Message #28 Filtered
